City,Frequency
New York City,658
New York State,173
Los Angeles (Calif),117
Memphis (Tenn),69
Chicago (Ill),61
San Francisco (Calif),52
Washington (DC),47
Nashville (Tenn),43
Atlanta (Ga),40
Philadelphia (Pa),36
"Harlem (Manhattan, NY)",29
Boston (Mass),28
Houston (Tex),25
Long Island (NY),23
Los Angeles County (Calif),22
El Paso (Tex),22
"Central Park (Manhattan, NY)",20
Fulton County (Ga),20
"Midtown Area (Manhattan, NY)",18
New Orleans (La),18
"Upper West Side (Manhattan, NY)",18
Monterey Park (Calif),18
Austin (Tex),16
Louisville (Ky),16
Kansas City (Mo),16
Phoenix (Ariz),15
Miami (Fla),15
Buffalo (NY),15
Washington (State),15
"East Village (Manhattan, NY)",15
"Times Square and 42nd Street (Manhattan, NY)",14
Las Vegas (Nev),14
San Francisco Bay Area (Calif),13
"Upper East Side (Manhattan, NY)",13
"Chelsea (Manhattan, NY)",13
Sacramento (Calif),12
Denver (Colo),12
San Diego (Calif),12
Oakland (Calif),11
Orlando (Fla),11
Dallas (Tex),10
Santa Fe (NM),10
Seattle (Wash),10
"Bedford-Stuyvesant (Brooklyn, NY)",10
Newport News (Va),9
Palm Springs (Calif),9
"SoHo (Manhattan, NY)",9
Portland (Ore),9
"West Village (Manhattan, NY)",9
Brownsville (Tex),9
Pittsburgh (Pa),8
Albany (NY),8
Detroit (Mich),8
Baltimore (Md),8
"Greenwich Village (Manhattan, NY)",8
Paterson (NJ),8
"Financial District (Manhattan, NY)",8
Charleston (SC),7
ALBUQUERQUE (NM),7
Toronto (Ontario),7
"Fifth Avenue (Manhattan, NY)",7
Ontario (Canada),7
"Long Island City (Queens, NY)",7
"Hell's Kitchen (Manhattan, NY)",7
East Lansing (Mich),7
Westchester County (NY),7
Minneapolis (Minn),7
Tulsa (Okla),7
Waco (Tex),7
Allen (Tex),7
"Chinatown (Manhattan, NY)",6
Oklahoma City (Okla),6
"Brooklyn Heights (Brooklyn, NY)",6
Walterboro (SC),6
Montclair (NJ),6
New York Metropolitan Area,6
St Louis (Mo),6
Montauk (NY),6
Hamptons (NY),6
Syracuse (NY),5
Cincinnati (Ohio),5
"Washington Heights (Manhattan, NY)",5
Nassau County (NY),5
Miami-Dade County (Fla),5
Athens (Greece),5
"Bushwick (Brooklyn, NY)",5
San Antonio (Tex),5
"Williamsburg (Brooklyn, NY)",5
"Coney Island (Brooklyn, NY)",5
Alhambra (Calif),5
"Astoria (Queens, NY)",5
AMARILLO (TEX),5
"Sunset Park (Brooklyn, NY)",5
San Bernardino County (Calif),5
Rochester (NY),4
"Forest Hills (Queens, NY)",4
Hudson River Valley (NY),4
Milwaukee (Wis),4
"Corona (Queens, NY)",4
ALEXANDRIA (VA),4
Wilmington (Del),4
Newark (NJ),4
"TriBeCa (Manhattan, NY)",4
"Hudson Yards (Manhattan, NY)",4
Berkeley (Calif),4
Long Beach (Calif),4
Tampa (Fla),4
Colleton County (SC),4
Charlotte (NC),4
Vancouver (British Columbia),4
"Flatiron District (Manhattan, NY)",4
"Greenpoint (Brooklyn, NY)",4
Fairfax County (Va),4
Indianapolis (Ind),4
Jackson (Miss),4
"Prospect Park (Brooklyn, NY)",4
DeKalb County (Ga),4
Rio de Janeiro (Brazil),4
ARLINGTON (VA),4
Farmington (NM),4
Newburgh (NY),4
Rockland County (NY),4
Columbia (SC),4
Reno (Nev),3
Manhattan Beach (Calif),3
"Bruce's Beach (Manhattan Beach, Calif)",3
Bergen County (NJ),3
Laredo (Tex),3
"South Street Seaport (Manhattan, NY)",3
Princeton (NJ),3
Santa Barbara (Calif),3
"Flushing (Queens, NY)",3
Madison (Wis),3
Richmond (Va),3
San Luis Obispo (Calif),3
Tucson (Ariz),3
"Willets Point (Queens, NY)",3
Billings (Mont),3
Omaha (Neb),3
"East Harlem (Manhattan, NY)",3
Des Moines (Iowa),3
Ottawa (Ontario),3
"Jamaica (Queens, NY)",3
San Mateo County (Calif),3
Peoria (Ill),3
Scranton (Pa),3
New Brunswick (NJ),3
Bridgeport (Conn),3
Columbia River (Pacific Northwest),3
San Bernardino (Calif),3
"Bay Ridge (Brooklyn, NY)",3
Sarasota (Fla),3
Colorado Springs (Colo),3
Manchester (England),3
"Riverdale (Bronx, NY)",3
Plains (Ga),3
Orange County (Fla),3
Grand Rapids (Mich),3
Dublin (Ireland),3
"Carroll Gardens (Brooklyn, NY)",3
Davenport (Iowa),3
"Meatpacking District (Manhattan, NY)",3
Tacoma (Wash),3
Henrico County (Va),3
Dinwiddie County (Va),3
Finger Lakes Region (NY),3
Augusta (Ga),3
AKRON (OHIO),3
Hebron (NY),3
"High Line (Manhattan, NY)",3
Cleveland (Tex),3
Orange County (NY),3
North Fork (NY),3
Shelter Island (NY),3
Sag Harbor (NY),3
Bucks County (Pa),2
Fort Lee (NJ),2
"Prospect Heights (Brooklyn, NY)",2
Birmingham (Ala),2
Bernalillo County (NM),2
Bakersfield (Calif),2
Burlington (NJ),2
Erie County (NY),2
"Riverside Drive (Manhattan, NY)",2
ALAMEDA COUNTY (CALIF),2
Florence (Italy),2
Macon (Ga),2
ANN ARBOR (MICH),2
Fort Worth (Tex),2
Hialeah (Fla),2
San Jose (Calif),2
Fort Myers Beach (Fla),2
Athens (Ga),2
Scottsdale (Ariz),2
Fort Lauderdale (Fla),2
Fort Myers (Fla),2
Onondaga County (NY),2
Coxsackie (NY),2
"Downtown Brooklyn (Brooklyn, NY)",2
Flint (Mich),2
Petaluma (Calif),2
YAKIMA (WASH),2
"Park Slope (Brooklyn, NY)",2
Durham (NC),2
"Ridgewood (Queens, NY)",2
Brookville (NY),2
Odessa (Ukraine),2
Burbank (Calif),2
Bloomfield (NJ),2
Lancaster (Tex),2
WARREN (MICH),2
Maplewood (NJ),2
Dutchess County (NY),2
Sayreville (NJ),2
Miami Beach (Fla),2
Salt Lake City (Utah),2
Birmingham (England),2
"Manhattan Beach (Brooklyn, NY)",2
"Rockaway Beach (Queens, NY)",2
"East New York (Brooklyn, NY)",2
British Columbia (Canada),2
Bishopville (SC),2
Lee County (SC),2
Al Atarib (Syria),2
"Clinton Hill (Brooklyn, NY)",2
Glendale (Ariz),2
Norwalk (Conn),2
Mississauga (Ontario),2
Asheville (NC),2
"Mott Haven (Bronx, NY)",2
Hollywood (Calif),2
Santa Monica (Calif),2
Ocean County (NJ),2
Lansing (Mich),2
Carlsbad (Calif),2
"Rockefeller Center (Manhattan, NY)",2
Freehold (NJ),2
Lake Erie,2
Hartford (Conn),2
Shreveport (La),2
Norman (Okla),2
Wilmington (NC),2
"Murray Hill (Manhattan, NY)",2
Providence (RI),2
"Morrisania (Bronx, NY)",2
Saint-Jean-de-Luz (France),2
"Dumbo (Brooklyn, NY)",2
Merced County (Calif),2
"Borough Park (Brooklyn, NY)",2
Pasadena (Calif),2
Port Chester (NY),2
Islandton (SC),2
Cleveland (Ohio),2
"Gramercy Park (Manhattan, NY)",2
Frederick (Md),2
Baton Rouge (La),2
"Elmhurst (Queens, NY)",2
"Bensonhurst (Brooklyn, NY)",2
"Georgetown (Washington, DC)",2
Nuevo Laredo (Mexico),2
"Lower East Side (Manhattan, NY)",2
"Flatbush (Brooklyn, NY)",2
Larchmont (NY),2
San Bernardino Mountains (Calif),2
Binghamton (NY),2
Worcester (Mass),2
"Crown Heights (Brooklyn, NY)",2
Clinton (NJ),2
Hayward (Calif),2
"Hudson Heights (Manhattan, NY)",2
"Inwood (Manhattan, NY)",2
Northport (NY),2
"Lenox Hill (Manhattan, NY)",2
North Charleston (SC),2
"Cypress Hills (Brooklyn, NY)",2
Hutchinson River Parkway,2
"Wallkill (Ulster County, NY)",2
Scarsdale (NY),2
Fort Campbell (Ky),2
"Turtle Bay (Manhattan, NY)",2
"Kips Bay (Manhattan, NY)",2
Briarcliff Manor (NY),2
"Central Park South (Manhattan, NY)",2
Lincoln (Neb),2
Little Rock (Ark),2
"East Williamsburg (Brooklyn, NY)",2
Cambridge (England),2
Raleigh (NC),2
Springfield (NJ),2
RICHMOND (IND),2
Burlington (Vt),2
Suffolk County (NY),2
"Jackson Heights (Queens, NY)",2
Hastings-on-Hudson (NY),2
East Hampton (NY),2
Fairfield (Conn),2
Lyndhurst (NJ),2
Concord (NH),2
McAllen (Tex),2
Fishers Island (NY),2
Southampton (NY),2
Southold (NY),2
Pleasantville (NY),2
Doylestown (Pa),1
Upper Arlington (Ohio),1
